n,asset,isin,role,category,note,tickers_tried,yahoo_ticker,status,source,latest_date,latest_close,all_time_high_date,all_time_high,drawdown_from_high_pct,all_time_close_high_date,all_time_close_high,drawdown_from_close_high_pct,week_52_high_date,week_52_high,drawdown_from_52w_high_pct,rows_used,error,generated_at_utc
1,FTSE All-World / MSCI ACWI,da verificare,leader,Globale core,Mercato globale,VWCE.DE,VWCE.DE,ok,yfinance.download,2026-07-08,163.139999,2026-06-22,167.080002,-2.3582,2026-07-06,166.600006,-2.0768,2026-06-22,167.080002,-2.3582,1764,,2026-07-08T09:44:28+00:00
2,S&P 500,da verificare,leader,USA core,Large cap USA,VUAA.DE,VUAA.DE,ok,yfinance.download,2026-07-08,125.705002,2026-07-01,127.459999,-1.3769,2026-07-01,127.404999,-1.3343,2026-07-01,127.459999,-1.3769,383,,2026-07-08T09:44:28+00:00
3,Nasdaq 100,da verificare,leader,USA growth,Growth/tech,SXRV.DE,SXRV.DE,ok,yfinance.download,2026-07-08,1446.800049,2026-06-22,1539.199951,-6.0031,2026-06-19,1520.599976,-4.8533,2026-06-22,1539.199951,-6.0031,4041,,2026-07-08T09:44:29+00:00
4,Russell 2000,da verificare,leader,USA small cap,Small cap USA,IUS3.DE,IUS3.DE,ok,yfinance.download,2026-07-08,102.019997,2026-07-01,106.68,-4.3682,2026-07-01,106.540001,-4.2425,2026-07-01,106.68,-4.3682,4612,,2026-07-08T09:44:29+00:00
5,MSCI World Value,da verificare,leader,World factor,Value globale,IWVL.L,IWVL.L,ok,yfinance.download,2026-07-08,76.120003,2026-06-16,81.860001,-7.012,2026-06-02,81.540001,-6.647,2026-06-16,81.860001,-7.012,2970,,2026-07-08T09:44:29+00:00
6,MSCI World Quality,da verificare,leader,World factor,Quality globale,IWQU.L,IWQU.L,ok,yfinance.download,2026-07-08,86.830002,2026-07-03,89.25,-2.7115,2026-07-03,88.400002,-1.776,2026-07-03,89.25,-2.7115,2970,,2026-07-08T09:44:30+00:00
7,MSCI World Minimum Volatility,da verificare,leader,World factor,Difensivo globale,MVOL.L,MVOL.L,ok,yfinance.download,2026-07-08,75.169998,2025-08-26,78.660004,-4.4368,2026-02-27,77.019997,-2.402,2025-08-26,78.660004,-4.4368,3435,,2026-07-08T09:44:30+00:00
8,STOXX Europe 600,da verificare,leader,Europa core,Europa ampia,EXSA.DE,EXSA.DE,ok,yfinance.download,2026-07-08,63.299999,2026-07-06,65.269997,-3.0182,2026-07-03,65.059998,-2.7052,2026-07-06,65.269997,-3.0182,4700,,2026-07-08T09:44:30+00:00
9,STOXX Europe 600 Value,da verificare,leader,Europa value,Value europeo,EXV1.DE,EXV1.DE,ok,yfinance.download,2026-07-08,40.305,2008-01-02,42.34,-4.8063,2008-01-02,42.34,-4.8063,2026-07-07,42.029999,-4.1042,4700,,2026-07-08T09:44:30+00:00
10,FTSE 100,da verificare,leader,UK,UK large cap,ISF.L,ISF.L,ok,yfinance.download,2026-07-08,1022.0,2026-02-25,1148.400024,-11.0066,2026-02-27,1067.599976,-4.2713,2026-02-25,1148.400024,-11.0066,4423,,2026-07-08T09:44:30+00:00
11,FTSE 250,da verificare,leader,UK,UK mid cap,MIDD.L,MIDD.L,ok,yfinance.download,2026-07-08,2116.0,2021-09-06,2312.0,-8.4775,2021-09-06,2299.5,-7.98,2026-06-15,2212.0,-4.34,4423,,2026-07-08T09:44:31+00:00
12,DAX,da verificare,leader,Europa paese,Germania,EXS1.DE,EXS1.DE,ok,yfinance.download,2026-07-08,205.100006,2026-07-06,213.600006,-3.9794,2026-07-06,212.800003,-3.6184,2026-07-06,213.600006,-3.9794,4700,,2026-07-08T09:44:31+00:00
13,FTSE MIB,da verificare,leader,Europa paese,Italia,CSMIB.MI,CSMIB.MI,ok,yfinance.download,2026-07-08,256.299988,2026-07-07,264.649994,-3.1551,2026-07-06,263.299988,-2.6586,2026-07-07,264.649994,-3.1551,4073,,2026-07-08T09:44:31+00:00
14,SMI,da verificare,leader,Europa difensivo,Svizzera,CSSMI.SW,CSSMI.SW,ok,yfinance.download,2026-07-08,147.080002,2026-07-06,150.660004,-2.3762,2026-07-03,150.240005,-2.1033,2026-07-06,150.660004,-2.3762,4653,,2026-07-08T09:44:32+00:00
