n,asset,isin,role,category,note,tickers_tried,yahoo_ticker,status,source,latest_date,latest_close,all_time_high_date,all_time_high,drawdown_from_high_pct,all_time_close_high_date,all_time_close_high,drawdown_from_close_high_pct,week_52_high_date,week_52_high,drawdown_from_52w_high_pct,rows_used,error,generated_at_utc
1,FTSE All-World / MSCI ACWI,da verificare,leader,Globale core,Mercato globale,VWCE.DE,VWCE.DE,ok,yfinance.download,2026-09-03,166.619995,2026-08-13,170.119995,-2.0574,2026-08-13,169.619995,-1.7687,2026-08-13,170.119995,-2.0574,1804,,2026-09-03T12:11:41+00:00
2,S&P 500,da verificare,leader,USA core,Large cap USA,VUAA.DE,VUAA.DE,ok,yfinance.download,2026-09-03,127.635002,2026-08-13,130.850006,-2.457,2026-08-13,130.399994,-2.1204,2026-08-13,130.850006,-2.457,423,,2026-09-03T12:11:41+00:00
3,Nasdaq 100,da verificare,leader,USA growth,Growth/tech,SXRV.DE,SXRV.DE,ok,yfinance.download,2026-09-03,1438.400024,2026-06-22,1539.199951,-6.5489,2026-06-19,1520.599976,-5.4058,2026-06-22,1539.199951,-6.5489,4088,,2026-09-03T12:11:41+00:00
4,Russell 2000,da verificare,leader,USA small cap,Small cap USA,IUS3.DE,IUS3.DE,ok,yfinance.download,2026-09-03,100.300003,2026-07-01,106.68,-5.9805,2026-07-01,106.540001,-5.857,2026-07-01,106.68,-5.9805,4652,,2026-09-03T12:11:42+00:00
5,MSCI World Value,da verificare,leader,World factor,Value globale,IWVL.L,IWVL.L,ok,yfinance.download,2026-09-03,82.099998,2026-08-17,82.68,-0.7015,2026-08-17,82.589996,-0.5933,2026-08-17,82.68,-0.7015,3009,,2026-09-03T12:11:42+00:00
6,MSCI World Quality,da verificare,leader,World factor,Quality globale,IWQU.L,IWQU.L,ok,yfinance.download,2026-09-03,89.599998,2026-08-13,91.309998,-1.8727,2026-08-14,90.940002,-1.4735,2026-08-13,91.309998,-1.8727,3009,,2026-09-03T12:11:42+00:00
7,MSCI World Minimum Volatility,da verificare,leader,World factor,Difensivo globale,MVOL.L,MVOL.L,ok,yfinance.download,2026-09-03,78.529999,2026-08-25,78.800003,-0.3426,2026-08-25,78.660004,-0.1653,2026-08-25,78.800003,-0.3426,3474,,2026-09-03T12:11:42+00:00
8,STOXX Europe 600,da verificare,leader,Europa core,Europa ampia,EXSA.DE,EXSA.DE,ok,yfinance.download,2026-09-03,64.660004,2026-08-07,66.230003,-2.3705,2026-08-11,65.949997,-1.956,2026-08-07,66.230003,-2.3705,4740,,2026-09-03T12:11:43+00:00
9,STOXX Europe 600 Value,da verificare,leader,Europa value,Value europeo,EXV1.DE,EXV1.DE,ok,yfinance.download,2026-09-03,42.639999,2026-08-13,43.435001,-1.8303,2026-08-14,43.044998,-0.9409,2026-08-13,43.435001,-1.8303,4740,,2026-09-03T12:11:43+00:00
10,FTSE 100,da verificare,leader,UK,UK large cap,ISF.L,ISF.L,ok,yfinance.download,2026-09-03,1058.800049,2026-02-25,1148.400024,-7.8022,2026-02-27,1067.599976,-0.8243,2026-02-25,1148.400024,-7.8022,4462,,2026-09-03T12:11:43+00:00
11,FTSE 250,da verificare,leader,UK,UK mid cap,MIDD.L,MIDD.L,ok,yfinance.download,2026-09-03,2265.5,2026-08-28,2324.5,-2.5382,2026-08-28,2320.0,-2.3491,2026-08-28,2324.5,-2.5382,4462,,2026-09-03T12:11:43+00:00
12,DAX,da verificare,leader,Europa paese,Germania,EXS1.DE,EXS1.DE,ok,yfinance.download,2026-09-03,212.949997,2026-08-28,219.449997,-2.962,2026-08-28,218.949997,-2.7404,2026-08-28,219.449997,-2.962,4740,,2026-09-03T12:11:44+00:00
13,FTSE MIB,da verificare,leader,Europa paese,Italia,CSMIB.MI,CSMIB.MI,ok,yfinance.download,2026-09-03,258.700012,2026-08-06,269.149994,-3.8826,2026-08-07,267.799988,-3.398,2026-08-06,269.149994,-3.8826,4113,,2026-09-03T12:11:44+00:00
14,SMI,da verificare,leader,Europa difensivo,Svizzera,CSSMI.SW,CSSMI.SW,ok,yfinance.download,2026-09-03,149.059998,2026-08-11,152.039993,-1.96,2026-08-10,151.600006,-1.6755,2026-08-11,152.039993,-1.96,4693,,2026-09-03T12:11:44+00:00
15,TOPIX / MSCI Japan,da verificare,leader,Giappone,Giappone ampio,XTPX.DE,,failed,,,,,,,,,,,,,0,"{""XTPX.DE/rows_from_yfinance"": ""empty yfinance result"", ""XTPX.DE/rows_from_yahoo_chart"": ""query1.finance.yahoo.com HTTP 404: {\""chart\"":{\""result\"":null,\""error\"":{\""code\"":\""Not Found\"",\""description\"":\""No data found, symbol may be delisted\""}}}; query2.finance.yahoo.com HTTP 404: {\""chart\"":{\""result\"":null,\""error\"":{\""code\"":\""Not Found\"",\""description\"":\""No data found, symbol may be delisted\""}}}""}",2026-09-03T12:11:51+00:00
16,MSCI Emerging Markets,da verificare,leader,Emergenti,EM globale,EIMI.L,EIMI.L,ok,yfinance.download,2026-09-03,54.799999,2026-02-19,60.549999,-9.4963,2026-06-22,58.0,-5.5172,2026-02-19,60.549999,-9.4963,3099,,2026-09-03T12:11:51+00:00
17,Emerging Markets ex China,da verificare,leader,Emergenti,EM senza Cina,EMXC.L,EMXC.L,ok,yfinance.download,2026-09-03,47.174999,2026-06-22,51.610001,-8.5933,2026-06-22,51.240002,-7.9333,2026-06-22,51.610001,-8.5933,1820,,2026-09-03T12:11:51+00:00
18,MSCI India,da verificare,leader,Emergenti paese,India,NDIA.L,NDIA.L,ok,yfinance.download,2026-09-03,8.872,2024-09-27,10.742,-17.4083,2024-09-27,10.72,-17.2388,2026-01-05,10.48,-15.3435,2089,,2026-09-03T12:11:51+00:00
