n,asset,isin,role,category,note,tickers_tried,yahoo_ticker,status,source,latest_date,latest_close,all_time_high_date,all_time_high,drawdown_from_high_pct,all_time_close_high_date,all_time_close_high,drawdown_from_close_high_pct,week_52_high_date,week_52_high,drawdown_from_52w_high_pct,rows_used,error,generated_at_utc
1,MSCI World,da verificare,leader,Globale core,Proxy comune MSCI World,URTH,URTH,ok,yfinance.download,2026-06-18,202.729996,2026-06-02,206.330002,-1.7448,2026-06-02,206.179993,-1.6733,2026-06-02,206.330002,-1.7448,3629,,2026-06-20T09:23:25+00:00
2,FTSE All-World,da verificare,leader,Globale core,Proxy comune globale,VT,VT,ok,yfinance.download,2026-06-18,157.660004,2026-06-02,159.410004,-1.0978,2026-06-02,159.350006,-1.0606,2026-06-02,159.410004,-1.0978,4523,,2026-06-20T09:23:25+00:00
3,MSCI ACWI,da verificare,leader,Globale core,Proxy comune MSCI ACWI,ACWI,ACWI,ok,yfinance.download,2026-06-18,157.740005,2026-06-02,160.029999,-1.431,2026-06-02,159.970001,-1.394,2026-06-02,160.029999,-1.431,4586,,2026-06-20T09:23:25+00:00
4,MSCI ACWI IMI,da verificare,leader,Globale core,Proxy UCITS ACWI IMI,IMID.L,IMID.L,ok,yfinance.download,2026-06-19,13.09,2026-02-12,307.799988,-95.7472,2026-02-10,305.549988,-95.7159,2026-02-12,307.799988,-95.7472,3813,,2026-06-20T09:23:26+00:00
5,MSCI World Equal Weighted,da verificare,leader,World factor,Proxy equal weight globale,XDEW.DE,XDEW.DE,ok,yfinance.download,2026-06-19,101.779999,2026-06-16,102.419998,-0.6249,2026-06-15,102.080002,-0.2939,2026-06-16,102.419998,-0.6249,2999,,2026-06-20T09:23:26+00:00
6,S&P 500,da verificare,leader,USA core,Proxy comune S&P 500,SPY,SPY,ok,yfinance.download,2026-06-18,746.73999,2026-06-02,760.400024,-1.7964,2026-06-02,759.570007,-1.6891,2026-06-02,760.400024,-1.7964,8404,,2026-06-20T09:23:26+00:00
7,Nasdaq 100,da verificare,leader,USA growth,Proxy comune Nasdaq 100,QQQ,QQQ,ok,yfinance.download,2026-06-18,740.619995,2026-06-03,748.650024,-1.0726,2026-06-02,746.159973,-0.7425,2026-06-03,748.650024,-1.0726,6862,,2026-06-20T09:23:26+00:00
8,Nasdaq 100 Equal Weight,da verificare,leader,USA growth,Tech meno concentrato,QQEW,QQEW,ok,yfinance.download,2026-06-18,156.820007,2026-06-01,162.190002,-3.3109,2026-06-01,161.850006,-3.1078,2026-06-01,162.190002,-3.3109,5065,,2026-06-20T09:23:27+00:00
9,S&P 500 Equal Weight,da verificare,leader,USA breadth,S&P 500 meno concentrato,RSP,RSP,ok,yfinance.download,2026-06-18,209.960007,2026-06-16,214.300003,-2.0252,2026-06-15,212.880005,-1.3717,2026-06-16,214.300003,-2.0252,5821,,2026-06-20T09:23:27+00:00
10,MSCI USA Value,da verificare,leader,USA factor,Value USA,IUSV,IUSV,ok,yfinance.download,2026-06-18,109.709999,2026-06-16,111.5,-1.6054,2026-06-16,111.029999,-1.1889,2026-06-16,111.5,-1.6054,6506,,2026-06-20T09:23:27+00:00
11,S&P 500 Quality,da verificare,leader,USA factor,Quality USA,QUAL,QUAL,ok,yfinance.download,2026-06-18,215.889999,2026-06-15,219.820007,-1.7878,2026-06-15,219.199997,-1.51,2026-06-15,219.820007,-1.7878,3250,,2026-06-20T09:23:28+00:00
12,MSCI USA Minimum Volatility,da verificare,leader,USA difensivo,Difensivo USA,USMV,USMV,ok,yfinance.download,2026-06-18,94.239998,2026-03-02,98.07,-3.9054,2026-02-27,97.809998,-3.6499,2026-03-02,98.07,-3.9054,3686,,2026-06-20T09:23:28+00:00
13,S&P MidCap 400,da verificare,leader,USA mid cap,Mid cap USA,MDY,MDY,ok,yfinance.download,2026-06-18,691.0,2026-06-15,704.119995,-1.8633,2026-06-15,696.409973,-0.7768,2026-06-15,704.119995,-1.8633,7833,,2026-06-20T09:23:28+00:00
14,Russell 2000,da verificare,leader,USA small cap,Proxy comune Russell 2000,IWM,IWM,ok,yfinance.download,2026-06-18,295.589996,2026-06-15,297.910004,-0.7788,2026-06-18,295.589996,0.0,2026-06-15,297.910004,-0.7788,6554,,2026-06-20T09:23:28+00:00
15,MSCI World Quality,da verificare,leader,World factor,Quality globale,IWQU.L,IWQU.L,ok,yfinance.download,2026-06-19,86.93,2026-02-11,88.410004,-1.674,2026-06-15,88.040001,-1.2608,2026-02-11,88.410004,-1.674,2957,,2026-06-20T09:23:29+00:00
16,MSCI World Momentum,da verificare,leader,World factor,Momentum globale,IWMO.L,IWMO.L,ok,yfinance.download,2026-06-19,123.029999,2026-06-18,123.709999,-0.5497,2026-06-18,123.230003,-0.1623,2026-06-18,123.709999,-0.5497,2957,,2026-06-20T09:23:29+00:00
17,MSCI World Value,da verificare,leader,World factor,Value globale,IWVL.L,IWVL.L,ok,yfinance.download,2026-06-19,80.360001,2026-06-16,81.860001,-1.8324,2026-06-02,81.540001,-1.4471,2026-06-16,81.860001,-1.8324,2957,,2026-06-20T09:23:29+00:00
18,MSCI World Small Cap,da verificare,leader,World factor,Small cap globali,WSML.L,WSML.L,ok,yfinance.download,2026-06-19,10.442,2026-06-15,10.644,-1.8978,2026-06-15,10.534,-0.8734,2026-06-15,10.644,-1.8978,2078,,2026-06-20T09:23:29+00:00
